Wavelength_nm,R_front,T_front,R_stack,R_total,ensemble_id,d_PVK_nm,Delta_R_stack_vs_700nm,Delta_R_total_vs_700nm
545.0,0.04193131469631514,0.9580686853036848,0.06832983094625902,0.104831184432594,nominal,600.0,-1.8695740880300682e-05,-1.7259512724979165e-05
546.0,0.04193131469631514,0.9580686853036848,0.06889556540890941,0.10535347054270644,nominal,600.0,-2.0885309111776107e-05,-1.9281795024014836e-05
547.0,0.04193131469631514,0.9580686853036848,0.06944402815538094,0.10585983512799328,nominal,600.0,-2.2713755725933815e-05,-2.097082771583547e-05
548.0,0.04193131469631514,0.9580686853036848,0.06997973972012707,0.10635444982025662,nominal,600.0,-2.4464668777174348e-05,-2.2588404808468465e-05
549.0,0.04193131469631514,0.9580686853036848,0.070503172116695,0.10683774886184376,nominal,600.0,-2.630668400549485e-05,-2.4290221991907224e-05
550.0,0.04193131469631514,0.9580686853036848,0.07101338541611274,0.10730886283891702,nominal,600.0,-2.7970578844335736e-05,-2.5827686015902906e-05
551.0,0.04193131469631514,0.9580686853036848,0.07151127449101928,0.10776861652921506,nominal,600.0,-2.915756804519609e-05,-2.692486605911093e-05
552.0,0.04193131469631514,0.9580686853036848,0.07199879492094416,0.10821881440947279,nominal,600.0,-2.972890736711864e-05,-2.7453582289824197e-05
553.0,0.04193131469631514,0.9580686853036848,0.0724755053228094,0.10865904768556145,nominal,600.0,-2.9675369990225797e-05,-2.7405241295269667e-05
554.0,0.04193131469631514,0.9580686853036848,0.07293708371366181,0.1090853236502327,nominal,600.0,-2.929543517844746e-05,-2.7055421065125262e-05
555.0,0.04193131469631514,0.9580686853036848,0.07338452029195329,0.10949855519489993,nominal,600.0,-2.8888644430125066e-05,-2.668073847247876e-05
556.0,0.04193131469631514,0.9580686853036848,0.0738299666711422,0.10990996413484888,nominal,600.0,-2.840105153947836e-05,-2.6231393795594915e-05
557.0,0.04193131469631514,0.9580686853036848,0.07426903201983805,0.11031549471851365,nominal,600.0,-2.750600337533826e-05,-2.5405658963473243e-05
558.0,0.04193131469631514,0.9580686853036848,0.07465977633262993,0.11067640750880839,nominal,600.0,-2.5388671730838808e-05,-2.3450774446237554e-05
559.0,0.04193131469631514,0.9580686853036848,0.07497528006665104,0.11096783264800274,nominal,600.0,-2.1298455804147354e-05,-1.9673280256163328e-05
560.0,0.04193131469631514,0.9580686853036848,0.07524241048928751,0.11121458227443179,nominal,600.0,-1.556131156897622e-05,-1.4374227531074868e-05
561.0,0.04193131469631514,0.9580686853036848,0.07549675720013631,0.1114495286798139,nominal,600.0,-8.864316633883096e-06,-8.18828118906434e-06
562.0,0.04193131469631514,0.9580686853036848,0.07577652982140502,0.11170796743968726,nominal,600.0,-1.8298431003066495e-06,-1.6903297444664789e-06
563.0,0.04193131469631514,0.9580686853036848,0.07611001443515987,0.11201603036932341,nominal,600.0,5.147122997636866e-06,4.75482113655723e-06
564.0,0.04193131469631514,0.9580686853036848,0.07646564023634889,0.11234455617669546,nominal,600.0,1.2884156663714452e-05,1.190250815200078e-05
565.0,0.04193131469631514,0.9580686853036848,0.07680171774800004,0.11265503237997028,nominal,600.0,2.212651192332049e-05,2.0441255078551546e-05
566.0,0.04193131469631514,0.9580686853036848,0.07713582654943364,0.11296369854504001,nominal,600.0,3.175928683797624e-05,2.9341166459792567e-05
567.0,0.04193131469631514,0.9580686853036848,0.07749863805506087,0.11329889150872285,nominal,600.0,4.1218455727048964e-05,3.808127094778735e-05
568.0,0.04193131469631514,0.9580686853036848,0.0778195522519136,0.1135953850682887,nominal,600.0,5.3336248752575144e-05,4.927807000089379e-05
569.0,0.04193131469631514,0.9580686853036848,0.0779774612763273,0.1137412806138776,nominal,600.0,7.192199748286277e-05,6.64505214882094e-05
570.0,0.04193131469631514,0.9580686853036848,0.07802170774308383,0.11378216122428741,nominal,600.0,9.558304496064263e-05,8.831179233896591e-05
571.0,0.04193131469631514,0.9580686853036848,0.07815070373619723,0.11390134528030682,nominal,600.0,0.00011734246193631503,0.00010841699091322654
572.0,0.04193131469631514,0.9580686853036848,0.07843023481145892,0.11415961857323396,nominal,600.0,0.00013348077895783406,0.00012333058895802607
573.0,0.04193131469631514,0.9580686853036848,0.07875405358802116,0.11445881917029649,nominal,600.0,0.00014773501016676627,0.00013650453245039884
574.0,0.04193131469631514,0.9580686853036848,0.07903206123687968,0.11471569791423017,nominal,600.0,0.00016483742237226318,0.00015231031155932273
575.0,0.04193131469631514,0.9580686853036848,0.07922252273141572,0.1148916875819887,nominal,600.0,0.00018738506494093976,0.00017314701677861866
576.0,0.04193131469631514,0.9580686853036848,0.07933127930596079,0.11499218177590087,nominal,600.0,0.00021610144339920256,0.00019968302948837613
