Wavelength_nm,R_front,T_front,R_stack,R_total,d_PVK_bulk_nm,d_C60_bulk_nm,ensemble_id,d_BEMA_rear_nm,Delta_R_stack_vs_pristine,Delta_R_total_vs_pristine
575.0,0.04193131469631514,0.9580686853036848,0.07903513766647483,0.11471854056521012,700.0,15.0,nominal,0.0,0.0,0.0
576.0,0.04193131469631514,0.9580686853036848,0.07911517786256152,0.11479249874641244,700.0,15.0,nominal,0.0,0.0,0.0
577.0,0.04193131469631514,0.9580686853036848,0.07921752296485365,0.11488706767640719,700.0,15.0,nominal,0.0,0.0,0.0
578.0,0.04193131469631514,0.9580686853036848,0.07941701195066911,0.11507140184654796,700.0,15.0,nominal,0.0,0.0,0.0
579.0,0.04193131469631514,0.9580686853036848,0.07960785326867063,0.1152477481923722,700.0,15.0,nominal,0.0,0.0,0.0
580.0,0.04193131469631514,0.9580686853036848,0.07967760606310353,0.11531220375890526,700.0,15.0,nominal,0.0,0.0,0.0
581.0,0.04193131469631514,0.9580686853036848,0.07970097688079618,0.11533379981407116,700.0,15.0,nominal,0.0,0.0,0.0
582.0,0.04193131469631514,0.9580686853036848,0.07980016378421478,0.11542545501035384,700.0,15.0,nominal,0.0,0.0,0.0
583.0,0.04193131469631514,0.9580686853036848,0.07996711018692869,0.1155797261501002,700.0,15.0,nominal,0.0,0.0,0.0
584.0,0.04193131469631514,0.9580686853036848,0.08013056164086618,0.11573076979165614,700.0,15.0,nominal,0.0,0.0,0.0
585.0,0.04193131469631514,0.9580686853036848,0.0802406634719491,0.11583251482057907,700.0,15.0,nominal,0.0,0.0,0.0
586.0,0.04193131469631514,0.9580686853036848,0.08027543912200681,0.11586465117156666,700.0,15.0,nominal,0.0,0.0,0.0
587.0,0.04193131469631514,0.9580686853036848,0.08024904329248994,0.11584025864577283,700.0,15.0,nominal,0.0,0.0,0.0
588.0,0.04193131469631514,0.9580686853036848,0.08018696064067818,0.11578288795213852,700.0,15.0,nominal,0.0,0.0,0.0
589.0,0.04193131469631514,0.9580686853036848,0.08011556589824526,0.11571691230880217,700.0,15.0,nominal,0.0,0.0,0.0
590.0,0.04193131469631514,0.9580686853036848,0.08008625807703046,0.11568982916372428,700.0,15.0,nominal,0.0,0.0,0.0
591.0,0.04193131469631514,0.9580686853036848,0.08012453163093308,0.11572519749071115,700.0,15.0,nominal,0.0,0.0,0.0
592.0,0.04193131469631514,0.9580686853036848,0.08019193559640243,0.11578748530690039,700.0,15.0,nominal,0.0,0.0,0.0
593.0,0.04193131469631514,0.9580686853036848,0.0802380093301306,0.115830062118801,700.0,15.0,nominal,0.0,0.0,0.0
594.0,0.04193131469631514,0.9580686853036848,0.08021653283591752,0.11581021563520406,700.0,15.0,nominal,0.0,0.0,0.0
595.0,0.04193131469631514,0.9580686853036848,0.08010003226789458,0.11570255778530851,700.0,15.0,nominal,0.0,0.0,0.0
596.0,0.04193131469631514,0.9580686853036848,0.07991509489453145,0.11553165984191083,700.0,15.0,nominal,0.0,0.0,0.0
597.0,0.04193131469631514,0.9580686853036848,0.07971806186972105,0.11534958740850565,700.0,15.0,nominal,0.0,0.0,0.0
598.0,0.04193131469631514,0.9580686853036848,0.07959010409376091,0.11523134700125139,700.0,15.0,nominal,0.0,0.0,0.0
599.0,0.04193131469631514,0.9580686853036848,0.07955767007199896,0.11520137628603082,700.0,15.0,nominal,0.0,0.0,0.0
600.0,0.04193131469631514,0.9580686853036848,0.0794652460350815,0.11511597213974493,700.0,15.0,nominal,0.0,0.0,0.0
