NKChart,,,,,
X of n [Wavelength (nm)],n - n,X of k [Wavelength (nm)],k - k,X of nodes [Wavelength (nm)],nodes - k
591.7634453,2.140522819,591.7634453,0.063747908,,
590.9832659,2.141267464,590.9832659,0.06415233,,
590.2030864,2.14201665,590.2030864,0.064561515,,
589.4229069,2.142770408,589.4229069,0.064975538,,
588.6427275,2.143528769,588.6427275,0.065394479,,
587.862548,2.144291764,587.862548,0.065818417,,
587.0823685,2.145059426,587.0823685,0.066247433,,
586.3021891,2.145831785,586.3021891,0.066681612,,
585.5220096,2.146608873,585.5220096,0.067121037,,
584.7418301,2.147390722,584.7418301,0.067565795,,
583.9616507,2.148177362,583.9616507,0.068015975,,
583.1814712,2.148968826,583.1814712,0.068471666,,
582.4012917,2.149765144,582.4012917,0.068932961,,
581.6211122,2.150566348,581.6211122,0.069399952,,
580.8409328,2.15137247,580.8409328,0.069872735,,
580.0607533,2.15218354,580.0607533,0.070351408,,
579.2805738,2.152999589,579.2805738,0.07083607,,
578.5003944,2.15382065,578.5003944,0.071326823,,
577.7202149,2.154646752,577.7202149,0.071823769,,
576.9400354,2.155477926,576.9400354,0.072327015,,
576.159856,2.156314205,576.159856,0.072836667,,
575.3796765,2.157155617,575.3796765,0.073352837,,
574.599497,2.158002195,574.599497,0.073875636,,
573.8193176,2.158853969,573.8193176,0.074405178,,
573.0391381,2.159710969,573.0391381,0.07494158,,
572.2589586,2.160573226,572.2589586,0.075484961,,
571.4787792,2.161440772,571.4787792,0.076035443,,
570.6985997,2.162313635,570.6985997,0.076593149,,
569.9184202,2.163191848,569.9184202,0.077158207,,
569.1382408,2.16407544,569.1382408,0.077730744,,
568.3580613,2.164964444,568.3580613,0.078310893,,
567.5778818,2.165858891,567.5778818,0.078898788,,
566.7977024,2.166758813,566.7977024,0.079494567,,
566.0175229,2.167664243,566.0175229,0.080098368,,
565.2373434,2.168575214,565.2373434,0.080710335,,
564.4571639,2.169491762,564.4571639,0.081330613,,
563.6769845,2.170413924,563.6769845,0.08195935,,
