Wavelength_nm,R_glass_1mm_pvk_700nm,T_glass_1mm_pvk_700nm,A_glass_1mm_pvk_700nm,R_pvk_700nm_glass_1mm,T_pvk_700nm_glass_1mm,A_pvk_700nm_glass_1mm
595.0,0.127544002680083,0.0009664161310939853,0.871489581188823,0.2273842959779318,0.0009664161310939844,0.7716492878909743
596.0,0.12719675150843626,0.0010414481304295512,0.8717618003611343,0.22692449784874277,0.0010414481304295516,0.7720340540208277
597.0,0.12687261465103708,0.0011055920874219248,0.8720217932615411,0.22649153479522358,0.0011055920874219252,0.7724028731173546
598.0,0.12665898849394802,0.0011585251481387659,0.8721824863579133,0.22621437775136444,0.0011585251481387652,0.7726270971004968
599.0,0.12655003992848776,0.0012304858287155492,0.8722194742427967,0.22610027846091377,0.0012304858287155488,0.7726692357103707
600.0,0.12636361421011547,0.0013284745198033473,0.8723079112700812,0.2258849367394128,0.0013284745198033471,0.7727865887407839
601.0,0.12597562112713903,0.001408673669166378,0.8726157052036946,0.22536795886604094,0.0014086736691663788,0.7732233674647927
602.0,0.12556252204426874,0.0014476425674959062,0.8729898353882354,0.2247973363304351,0.0014476425674959058,0.7737550211020691
603.0,0.12531325191695034,0.0014971962512451001,0.8731895518318046,0.22447030639724547,0.0014971962512450993,0.7740324973515094
604.0,0.12517937986275068,0.0016003832942249445,0.8732202368430243,0.22433481313677126,0.0016003832942249438,0.7740648035690038
605.0,0.12508350811357397,0.0017231284508727714,0.8731933634355533,0.22426111981156124,0.0017231284508727714,0.774015751737566
606.0,0.12495014119856876,0.0018197645776319266,0.8732300942237994,0.22412205213902422,0.0018197645776319266,0.7740581832833439
607.0,0.12462115134021229,0.0019038304090945514,0.8734750182506932,0.22369631894891,0.0019038304090945506,0.7743998506419953
608.0,0.12411412319457474,0.0020037181904642774,0.873882158614961,0.2230198474789062,0.0020037181904642787,0.7749764343306295
609.0,0.12371512089774897,0.002106563265221704,0.8741783158370293,0.22250011711036458,0.002106563265221704,0.7753933196244137
610.0,0.12358112725832507,0.002183661679327728,0.8742352110623473,0.2223534118353007,0.002183661679327729,0.7754629264853716
611.0,0.12358128299343113,0.002241531478901245,0.8741771855276677,0.22239327206527368,0.0022415314789012435,0.775365196455825
612.0,0.12353718332585058,0.0023090975425720727,0.8741537191315774,0.22237265067318635,0.0023090975425720714,0.7753182517842416
613.0,0.12326397551782758,0.002421887695117519,0.8743141367870549,0.22203716705617238,0.0024218876951175175,0.7755409452487101
614.0,0.12267342455077637,0.002622047876302106,0.8747045275729215,0.2212726881537333,0.0026220478763021053,0.7761052639699646
615.0,0.12204362627446015,0.0028837850472611583,0.8750725886782786,0.2204695239631432,0.0028837850472611605,0.7766466909895956
616.0,0.12172705397063817,0.003080508193284904,0.8751924378360769,0.22009473651136527,0.003080508193284906,0.7768247552953499
