Photon_Energy_eV,Wavelength_nm,Epsilon1,Epsilon2,n,k
1.987711,623.7536462795647,6.799022,2.623025,2.6539097809420857,0.4941812677348961
1.982651,625.3455519907437,6.772767,2.612675,2.648773169297941,0.4931858700253464
1.977616,626.9376784977467,6.761374,2.615743,2.6467984090452785,0.4941334011424617
1.972607,628.5296483283289,6.732845,2.602793,2.6411432284123597,0.49273984311039976
1.967623,630.121717422494,6.7273,2.594856,2.639857785173428,0.49147647547034984
1.962664,631.7138256981327,6.706247,2.599422,2.636157785990241,0.4930323241299382
1.957731,633.3055889700883,6.700683,2.615258,2.6356827122881477,0.4961253469181015
1.952823,634.8972661628832,6.679386,2.618915,2.631905067268668,0.4975321930433173
1.947939,636.4891220926322,6.661844,2.623884,2.6288588210940005,0.4990538059605781
1.94308,638.0807707351215,6.676899,2.63767,2.6321014298989223,0.5010578182964042
1.938245,639.6724789693769,6.649017,2.643313,2.6271840531208888,0.5030696263666701
1.933434,641.2641879681437,6.638925,2.650521,2.625584929024727,0.5047486696582569
1.928647,642.855838315669,6.625488,2.668073,2.6237393065855,0.5084485705769669
1.923884,644.4473700077551,6.633745,2.694042,2.6261819859237314,0.5129198993900642
1.919145,646.0387224519251,6.644043,2.712833,2.628743621826398,0.515994214398736
1.914429,647.630172756472,6.646502,2.729333,2.62978831392478,0.5189263686259705
1.909737,649.2213241928076,6.632246,2.734714,2.627373336475763,0.5204273717088528
1.905067,650.8127976601347,6.667027,2.767236,2.6349130967336696,0.5251095384190017
1.90042,652.4041969669862,6.674558,2.77387,2.6365284552320616,0.5260459060275626
1.895796,653.9954636469324,6.696175,2.798262,2.6413555390677956,0.5297018819714784
1.891195,655.5865386699943,6.731243,2.820599,2.648542866426679,0.5324812816425081
1.886616,657.177710779512,6.732815,2.833825,2.64931134163921,0.5348229472808255
1.88206,658.7685748594624,6.771833,2.852087,2.6570440538711293,0.5367029944130408
1.877525,660.3597736381672,6.778941,2.867557,2.6588943710813906,0.5392386081952073
1.873013,661.9505491953339,6.808336,2.857759,2.6638428306602737,0.5363978248092928
1.868522,663.5415499523152,6.849973,2.886236,2.6723748573322736,0.5400133128930152
1.864053,665.1323669445021,6.876372,2.895763,2.67746155919341,0.5407664939309814
1.859605,666.7233009160548,6.914329,2.891036,2.6840947469368075,0.538549543249053
1.855179,668.3139384393635,6.976581,2.910673,2.695922136953772,0.5398288326102927
1.850774,669.90458262327,6.991181,2.900899,2.698176927313209,0.5375664899204107
1.84639,671.4951792416553,7.042747,2.913161,2.7077865656813462,0.537922936194747
1.842026,673.0860389592764,7.102146,2.916445,2.718435603382406,0.536419732799854
1.837684,674.6763774402998,7.130738,2.900904,2.7229545551583967,0.5326758014570044
1.833362,676.2668714634643,7.159325,2.900577,2.727995087912571,0.5316316390839778
1.829061,677.8570993531653,7.216362,2.88849,2.737639893645171,0.5275511229042568
1.824779,679.4477490150862,7.275298,2.887445,2.7479666187197993,0.5253784708173018
1.820518,681.0380254411107,7.320468,2.851296,2.7546888247092762,0.5175350432368563
1.816277,682.628246682637,7.369112,2.847049,2.763067166566929,0.5151972117162495
1.812056,684.2183596974928,7.412152,2.810424,2.7694064906142404,0.5074054692810123
1.807855,685.8083109541417,7.437812,2.781252,2.772960388851935,0.501495082869088
1.803673,687.3984275420211,7.502579,2.767903,2.783832974127518,0.4971388416123438
1.79951,688.9886602464004,7.572622,2.738134,2.79509158254484,0.489811141985376
1.795367,690.578574742657,7.591892,2.699064,2.797257291277421,0.482448291120089
1.791243,692.1685019843762,7.655922,2.671839,2.807550034225864,0.4758310568696097
1.787138,693.7583913497447,7.711892,2.606519,2.8153472268839965,0.46291252729150456
1.783052,695.3481917521193,7.734938,2.542063,2.8175244472712846,0.45111640512328743
1.778985,696.9378516401206,7.780639,2.505434,2.8244217539000114,0.4435304317672201
1.774937,698.527318997801,7.819786,2.441256,2.829468246307714,0.4313983737378376
1.770907,700.1169366883748,7.868551,2.398549,2.8367723219051624,0.4227602232083871
1.766895,701.7066571584616,7.901424,2.319071,2.840435060635533,0.4082246118101923
1.762902,703.2960334720818,7.961058,2.276699,2.849672216370348,0.3994668205910103
1.758927,704.8854125270691,7.964544,2.186151,2.8481286252557196,0.38378726659574813
1.75497,706.4747454372439,8.049091,2.124488,2.8612787480804527,0.37124799557282834
1.75103,708.0643872463635,8.037279,2.013167,2.8568208292375683,0.352343937603059
1.747109,709.653481265336,8.043386,1.908458,2.8557032807367078,0.33414851130956147
1.743205,711.2427878534079,8.055112,1.805075,2.8556957928646396,0.31604819471846984
1.739319,712.8318520064461,7.98122,1.605294,2.8392145914162454,0.28270036453976843
1.73545,714.4210343138667,7.855644,1.54998,2.8162687766072327,0.27518325183920683
1.731599,716.0098752655781,7.750441,1.492514,2.7967196555250995,0.26683296573030535
1.727765,717.5987382543343,7.721577,1.446259,2.7908268819631794,0.25910940756429957
1.723948,719.1875764234187,7.651165,1.450798,2.778368586169022,0.261088108903586
1.720148,720.7763425007615,7.593897,1.444195,2.7680229029440726,0.26087121578075684
1.716365,722.3649887990025,7.554527,1.430292,2.760729965646585,0.2590423579629264
1.712598,723.9538899379772,7.488984,1.448745,2.749255436825171,0.2634795189625963
1.708848,725.5425783919927,7.48002,1.429844,2.747314587221997,0.2602257503837255
1.705115,727.1310052401158,7.460585,1.411379,2.743492066105739,0.25722308758184054
1.701398,728.7195494528617,7.43184,1.421452,2.7384663704118224,0.2595343173387656
1.697697,730.3081668872595,7.411337,1.398212,2.7343567038738508,0.2556747621879598
1.694013,731.8963809604767,7.392157,1.398346,2.730880022273728,0.25602479577915305
1.690345,733.484575042373,7.376486,1.395526,2.727986282724509,0.2557795119494245
1.686693,735.0727038056125,7.372592,1.379914,2.727013965637865,0.2530082385693298
1.683056,736.6611592246484,7.353154,1.383876,2.723545368830034,0.25405782033924373
1.679436,738.2490216953787,7.33658,1.381077,2.720479647139819,0.2538296879838813
1.675831,739.8371220009655,7.321014,1.372078,2.717489034904255,0.2524532725572416
1.672242,741.4249755717175,7.317739,1.365194,2.7167750928164716,0.25125267152399894
1.668668,743.0129804131199,7.296625,1.367046,2.7129509533287526,0.25194815968247675
1.665109,744.6010945829972,7.284935,1.364081,2.7107637029057967,0.2516045567781829
1.661566,746.1888266851872,7.278747,1.358705,2.7095406558770545,0.2507260773247556
1.658038,747.776579306385,7.277531,1.357136,2.7092916037848926,0.2504595662763052
1.654526,749.3638564761146,7.262338,1.353979,2.706456606408777,0.25013868627966057
1.651028,750.9515186901737,7.261382,1.351504,2.706239609224203,0.2497014668238187
